longitude,latitude
-122.3971,37.7621
26.1063,44.4323
-122.3971,37.7621
-122.3971,37.7621
26.1063,44.4323
26.1063,44.4323
-122.3971,37.7621
-122.3971,37.7621
-122.3971,37.7621
-94.5786,39.0997
-122.3971,37.7621
-122.3971,37.7621
4.8897,52.374
11.0775,49.4542
-122.3971,37.7621
8.6842,50.1155
26.1063,44.4323
26.1063,44.4323
26.1063,44.4323
26.1063,44.4323
8.6842,50.1155
-122.3971,37.7621
26.1063,44.4323
-122.3971,37.7621
2.1281,50.9865
26.1063,44.4323
8.6842,50.1155
6.1166,46.1679
-117.1464,33.7283
-94.5786,39.0997
-122.3971,37.7621
6.8958,52.2183
26.1063,44.4323
-122.3971,37.7621
-117.1464,33.7283
26.1063,44.4323
-75.6904,45.4166
26.1063,44.4323
-122.3971,37.7621
-118.2437,34.0522
-122.3971,37.7621
8.6842,50.1155
-122.3971,37.7621
-122.3971,37.7621
26.1063,44.4323
4.3488,50.8505
8.6842,50.1155
26.1063,44.4323
26.1063,44.4323
-77.4875,39.0437
-122.3971,37.7621
26.1063,44.4323
8.6842,50.1155
-77.4875,39.0437
-122.1175,38.0088
-122.3971,37.7621
11.0775,49.4542
-74.006,40.7143
-122.3971,37.7621
26.1063,44.4323
-122.3971,37.7621
-77.4875,39.0437
-77.4875,39.0437
-84.388,33.749
8.6842,50.1155
4.8897,52.374
6.1166,46.1679
-87.65,41.85
-122.3971,37.7621
8.6842,50.1155
26.1063,44.4323
26.1063,44.4323
26.1063,44.4323
8.6842,50.1155
-122.3971,37.7621
-122.3971,37.7621
-74.1638,40.8584
26.1063,44.4323
-78.1594,38.7135
4.3488,50.8505
-122.3971,37.7621
-122.3971,37.7621
26.1063,44.4323
26.1063,44.4323
6.1327,49.6098
21.2257,45.7537
-111.6585,40.2338
4.8897,52.374
-122.4147,37.7725
26.1063,44.4323
-122.261,47.474
8.6842,50.1155
-77.4875,39.0437
-122.3971,37.7621
-74.0083,40.7056
-94.5786,39.0997
-122.3971,37.7621
-122.3971,37.7621
-122.3971,37.7621
26.1063,44.4323
-77.4875,39.0437
4.8897,52.374
16.3721,48.2085
8.6842,50.1155
-122.3971,37.7621
26.1063,44.4323
8.6842,50.1155
8.6842,50.1155
-122.3971,37.7621
26.1063,44.4323
-117.8546,34.0183
-122.3971,37.7621
8.6842,50.1155
-122.3971,37.7621
26.1063,44.4323
-122.3971,37.7621
-122.3971,37.7621
8.6842,50.1155
4.8897,52.374
24.9354,60.1695
25.9627,43.8866
-122.3971,37.7621
-122.3971,37.7621
-75.6904,45.4166
26.1734,44.49
26.1063,44.4323
-122.3971,37.7621
